1,BON,2015-08-25,13,1
2,MOYEN,2013-09-28,12,1
3,MOYEN,2015-05-26,12,1
4,BON,2007-01-11,10,1
5,MAUVAIS,2014-10-29,13,2
6,NEUF,2015-10-29,20,2
7,BON,2014-12-27,7,3
8,MOYEN,2014-09-25,13,3
9,NEUF,2006-12-29,18,4
10,NEUF,2006-12-29,21,4
11,BON,2009-04-29,26,5
12,MAUVAIS,2015-10-27,22,6
13,BON,2015-01-24,22,6
14,BON,2015-05-01,28,7
15,MAUVAIS,2015-01-26,28,7
16,BON,2015-01-24,30,8
17,BON,2015-01-23,32,9
18,MAUVAIS,2007-01-29,17,10
19,BON,2014-10-29,18,10
20,BON,2014-10-29,18,10
21,BON,2014-10-29,19,10
22,BON,2015-01-26,20,11
23,BON,2015-10-29,21,12
24,MAUVAIS,2015-01-24,22,13
25,BON,2007-01-28,22,13
26,MAUVAIS,2015-01-23,26,14
27,MOYEN,2006-12-26,13,14
28,BON,2015-02-23,12,15
29,BON,2015-10-29,15,15
30,MAUVAIS,2015-01-26,32,16
31,BON,2015-01-23,19,17
32,MAUVAIS,2013-10-29,19,17
33,BON,2014-01-23,20,17
34,BON,2015-01-25,11,18
35,MAUVAIS,2014-10-29,15,18
36,NEUF,2015-10-29,18,18
37,BON,2015-01-23,8,19
38,MAUVAIS,2014-09-28,18,20
39,BON,2014-12-26,18,20
40,BON,2015-01-23,11,24
